label	predict	score
1	1	0.98884064
1	1	0.9877511
-1	-1	0.0026845871
-1	-1	0.0028983483
1	1	0.9851945
-1	-1	0.0031056746
-1	-1	0.12031461
-1	-1	0.0032862301
-1	-1	0.0027036592
-1	-1	0.0019233814
1	1	0.9985752
1	1	0.90149343
-1	-1	0.012594131
1	1	0.9939282
1	1	0.9913306
1	1	0.9974867
1	1	0.99897385
1	1	0.99862707
1	1	0.99714726
-1	-1	0.002519089
1	1	0.9521423
1	1	0.98395675
-1	-1	0.014779845
1	1	0.9804315
-1	-1	0.0022243347
1	1	0.9960038
1	1	0.9566179
-1	-1	0.093483835
-1	-1	0.0033696839
-1	-1	0.010443204
-1	-1	0.0023726106
-1	-1	0.0018322741
-1	-1	0.0039649582
-1	-1	0.0030458495
1	1	0.99166894
1	1	0.9974355
-1	-1	0.00339643
-1	-1	0.0031985007
1	1	0.9970451
-1	-1	0.0023391873
-1	-1	0.0035187854
1	1	0.99388003
1	1	0.92168397
-1	-1	0.105013475
1	1	0.99238294
1	1	0.9913209
1	1	0.9990482
-1	-1	0.37520972
1	1	0.978136
1	1	0.99144113
-1	-1	0.0027452998
-1	-1	0.002874076
-1	-1	0.018085962
1	1	0.9984862
-1	-1	0.0030070953
1	1	0.98787594
1	1	0.9953792
-1	-1	0.026358051
1	-1	0.1324233
1	1	0.9862918
-1	-1	0.010493929
1	1	0.9967744
1	1	0.9760819
-1	-1	0.15890539
-1	-1	0.0025494157
1	1	0.9958211
1	1	0.99302435
1	1	0.9932138
-1	-1	0.0030842186
-1	-1	0.0028983385
1	1	0.9895678
-1	-1	0.0030843006
-1	1	0.9891606
1	1	0.8359156
-1	-1	0.0038429308
1	1	0.94497466
1	1	0.99488765
1	1	0.9579492
1	1	0.9977289
1	1	0.75841916
-1	-1	0.023234727
-1	-1	0.07683427
-1	-1	0.077606976
1	1	0.997912
-1	-1	0.26876214
-1	-1	0.32414544
-1	-1	0.0036481114
-1	1	0.7087976
1	1	0.9934135
-1	-1	0.0035066383
1	1	0.9584088
1	1	0.9985347
1	1	0.9938682
-1	-1	0.0044965097
-1	-1	0.0031438475
1	1	0.99364895
-1	-1	0.076901644
1	1	0.9885091
-1	-1	0.0031592727
1	1	0.9977456
-1	-1	0.0024660102
-1	-1	0.0029127432
1	1	0.99532133
-1	1	0.82343304
-1	-1	0.0029882523
-1	-1	0.30856308
-1	-1	0.0031352458
1	1	0.998247
1	1	0.993618
1	1	0.99783355
1	1	0.99390393
1	1	0.6360421
1	1	0.9972077
-1	-1	0.0031180517
1	1	0.9984333
-1	-1	0.11184121
1	1	0.9919727
-1	-1	0.028138092
1	1	0.96267956
-1	-1	0.012429826
1	1	0.9599371
1	1	0.99829954
1	1	0.99390066
-1	-1	0.0030034315
1	1	0.9979614
-1	-1	0.23661664
-1	-1	0.0029999472
-1	-1	0.0026690897
1	1	0.9943335
1	1	0.991865
-1	-1	0.07502097
1	1	0.9966949
1	1	0.9972752
1	1	0.99486476
1	1	0.9948278
1	1	0.99513215
-1	-1	0.0037367747
-1	-1	0.005365619
1	1	0.9987204
1	1	0.9987814
-1	-1	0.0024330958
-1	-1	0.0024101716
1	1	0.99915755
1	1	0.99494547
1	1	0.81887835
1	1	0.99090135
1	1	0.99787045
1	1	0.91401875
-1	1	0.68779314
1	1	0.980706
1	1	0.9873346
1	1	0.99530774
1	1	0.99669826
-1	-1	0.0042579537
1	1	0.9890906
1	1	0.9934563
1	1	0.99642533
1	1	0.9642602
1	1	0.995086
-1	-1	0.0022476718
1	1	0.9983553
-1	1	0.7636355
-1	-1	0.0030022417
-1	-1	0.028555803
-1	-1	0.0027657433
-1	-1	0.0029098974
-1	-1	0.0044509964
1	1	0.9878284
1	1	0.9868124
-1	-1	0.2550045
1	1	0.99712986
-1	-1	0.33715007
-1	-1	0.02516504
1	1	0.9975555
1	1	0.9813486
-1	-1	0.0024092582
1	1	0.9839624
1	1	0.97464234
1	1	0.9776199
1	1	0.99586606
-1	-1	0.0028825607
-1	-1	0.004325538
1	1	0.9985569
1	1	0.7603556
-1	1	0.60036224
-1	-1	0.0033044724
-1	-1	0.002575015
-1	-1	0.19722818
1	1	0.9987771
-1	-1	0.16996665
-1	-1	0.00518017
1	1	0.9860119
-1	-1	0.008392548
-1	-1	0.0069127255
1	1	0.9230709
-1	-1	0.0032742363
-1	-1	0.0030549935
-1	-1	0.016866975
-1	-1	0.0040261634
-1	-1	0.05558829
-1	-1	0.0015850232
-1	-1	0.00544517
1	1	0.9773741
1	1	0.9929128
1	1	0.99400085
-1	-1	0.003831495
1	1	0.97503936
-1	-1	0.0058296733
-1	-1	0.003310863
1	1	0.99273723
1	1	0.877376
-1	-1	0.0024286762
1	1	0.9838801
-1	-1	0.06426465
1	1	0.959637
1	1	0.9873511
1	1	0.998539
-1	-1	0.0022425042
1	1	0.9824582
-1	-1	0.004431928
1	1	0.9959194
-1	-1	0.1068993
1	1	0.99499017
1	1	0.9974605
-1	-1	0.0022944894
-1	1	0.6073235
-1	-1	0.15681835
1	1	0.95724064
-1	-1	0.0027858047
-1	-1	0.004402133
-1	1	0.54733676
-1	-1	0.003626796
1	1	0.9968876
-1	-1	0.0033341807
1	1	0.9956108
-1	-1	0.012701128
-1	-1	0.0026198793
-1	-1	0.0051164664
-1	1	0.7969671
1	1	0.9560309
-1	-1	0.013503471
-1	-1	0.0027930443
1	1	0.9970493
1	1	0.9985739
-1	-1	0.10280207
1	1	0.9937441
-1	-1	0.040758498
-1	-1	0.0025568313
1	1	0.9904351
1	1	0.9948026
1	1	0.99492455
1	1	0.99777836
1	1	0.9967715
1	1	0.9830273
-1	-1	0.0017402412
1	1	0.99655104
-1	-1	0.0021379692
1	1	0.9969554
-1	-1	0.0029184863
1	1	0.99794227
1	1	0.9819354
1	1	0.95962447
1	1	0.9769306
-1	-1	0.08449045
1	1	0.99584323
-1	-1	0.22227713
1	1	0.9981698
1	1	0.99155277
-1	-1	0.080161765
-1	-1	0.002530577
1	1	0.9958182
-1	-1	0.002787807
1	1	0.9989819
1	1	0.99146664
-1	-1	0.0037849105
1	1	0.99596477
-1	-1	0.0024713816
1	1	0.9975304
1	1	0.9986733
1	1	0.94711053
1	1	0.99843794
1	1	0.9878925
1	1	0.9512168
-1	-1	0.019782709
1	1	0.9769647
-1	-1	0.0034071885
1	1	0.99565864
1	1	0.93820906
-1	-1	0.0019395006
-1	-1	0.0027964166
-1	-1	0.22790729
-1	-1	0.0038702914
1	1	0.95257753
1	1	0.98304117
1	1	0.9396027
-1	-1	0.0035400398
-1	-1	0.0030299413
1	1	0.996104
1	1	0.9970107
1	1	0.9970138
-1	-1	0.0032535163
1	-1	0.0654474
-1	-1	0.055741794
1	1	0.9975025
1	1	0.9849473
-1	-1	0.0065400396
1	1	0.9916543
-1	-1	0.032124896
-1	-1	0.0017900707
1	1	0.8725385
1	1	0.9934756
-1	-1	0.13031211
1	1	0.9965509
-1	1	0.9243201
-1	-1	0.0020993054
1	1	0.9849962
1	1	0.9956885
-1	-1	0.002784279
-1	-1	0.003037269
-1	-1	0.0029874737
-1	-1	0.003207329
-1	-1	0.0030347316
-1	-1	0.2282089
-1	-1	0.33803225
-1	-1	0.12188487
1	1	0.97607625
1	1	0.98286104
1	1	0.9989722
1	1	0.97742826
1	1	0.8937719
-1	-1	0.00404857
1	1	0.99834406
1	1	0.9858554
-1	-1	0.12688321
1	1	0.9885811
1	1	0.99061245
-1	1	0.6299228
-1	-1	0.0023645868
1	1	0.98793983
-1	-1	0.0029063548
1	1	0.95604724
1	1	0.908688
1	-1	0.05589257
1	1	0.99713683
1	1	0.86981267
1	1	0.81737024
-1	-1	0.0019518732
-1	-1	0.0027011493
-1	-1	0.0023986755
1	1	0.9921893
1	1	0.99665123
-1	-1	0.06889071
-1	-1	0.0035254029
-1	-1	0.20916651
-1	-1	0.0034556838
1	1	0.993166
-1	-1	0.0026519794
-1	-1	0.004096366
-1	-1	0.0043195086
1	1	0.9954731
-1	-1	0.0031565214
-1	-1	0.06551017
-1	-1	0.019170634
1	1	0.97118807
-1	-1	0.0021258248
-1	-1	0.0027984323
-1	-1	0.092213444
-1	-1	0.11240799
1	1	0.99872774
1	1	0.99833053
1	1	0.9974625
-1	-1	0.0025862174
-1	-1	0.0065273526
1	-1	0.34722152
-1	-1	0.005288905
-1	-1	0.0028698333
-1	-1	0.28509942
1	1	0.6962009
-1	1	0.60681
1	1	0.9929997
1	1	0.9812268
1	1	0.9973488
1	1	0.99003416
-1	-1	0.0048334817
-1	-1	0.004462206
1	1	0.79593974
1	1	0.9935607
-1	-1	0.09302536
1	1	0.9948809
-1	-1	0.002728895
-1	-1	0.0033060655
-1	-1	0.003705145
1	1	0.9944565
-1	-1	0.0024918448
-1	1	0.6810008
1	1	0.9813286
1	1	0.9932594
1	1	0.9912176
1	1	0.9969488
1	1	0.99741
1	1	0.95257753
-1	-1	0.0668948
1	1	0.99580044
1	1	0.99890673
1	1	0.995889
1	1	0.9954059
1	1	0.9891368
1	1	0.9968843
-1	-1	0.0025599455
1	1	0.99865973
1	1	0.9988176
1	1	0.9888031
1	1	0.7338172
1	1	0.99689806
-1	-1	0.003271006
1	1	0.89452094
-1	-1	0.054681152
-1	-1	0.10554667
1	1	0.98925346
-1	-1	0.0026315062
-1	-1	0.0030097982
-1	-1	0.0035027512
1	1	0.992736
1	1	0.99928063
1	1	0.9856948
-1	1	0.73745507
1	1	0.9189592
-1	-1	0.0028297212
1	1	0.97629493
1	1	0.99170554
1	1	0.99611616
1	1	0.91622543
1	1	0.89845717
1	1	0.9956376
1	1	0.77693474
-1	-1	0.0033607155
-1	-1	0.003560221
1	1	0.99493754
1	1	0.9958364
-1	-1	0.0039776657
1	1	0.94139034
1	1	0.997654
1	1	0.9940964
-1	-1	0.054760482
1	1	0.9877963
1	1	0.9890188
-1	-1	0.03486806
1	1	0.9980882
1	1	0.7386172
1	1	0.999172
1	1	0.9934563
-1	-1	0.3047559
-1	-1	0.0024173753
-1	-1	0.092986785
-1	-1	0.0038649128
-1	-1	0.00315777
1	1	0.9941757
1	1	0.99725455
-1	-1	0.0030307036
-1	-1	0.0038183066
1	1	0.9948244
-1	-1	0.0016860234
1	1	0.9940499
1	1	0.95796025
-1	-1	0.0030934457
1	1	0.9117892
1	1	0.9685744
-1	-1	0.2868522
1	1	0.99680483
1	1	0.99732935
1	1	0.9914693
-1	-1	0.0030214416
1	1	0.9975483
1	1	0.85251796
1	1	0.99328035
-1	-1	0.008910128
1	1	0.9987515
1	1	0.5465423
-1	-1	0.0017326665
-1	-1	0.31250116
-1	-1	0.0039765076
1	1	0.9823496
-1	-1	0.005519923
-1	-1	0.0028788089
1	1	0.96568274
-1	-1	0.008266483
1	1	0.99256223
1	1	0.97447723
-1	-1	0.03631751
-1	-1	0.0103510115
-1	-1	0.0032145507
-1	-1	0.066029765
1	1	0.9947466
-1	-1	0.0020831015
-1	-1	0.002807566
-1	-1	0.027358389
-1	-1	0.0031976418
1	1	0.9860119
-1	-1	0.08182824
1	1	0.835404
-1	-1	0.10215339
-1	-1	0.0015358924
-1	-1	0.0034681994
1	1	0.9935086
-1	-1	0.14825189
1	1	0.9991573
-1	-1	0.004045564
-1	-1	0.0036266237
-1	-1	0.0027728847
-1	-1	0.0046662097
-1	-1	0.002193448
1	1	0.9946137
1	1	0.9983772
1	1	0.9972516
-1	-1	0.32348636
1	1	0.9604324
-1	-1	0.0049451697
-1	-1	0.0028966803
-1	-1	0.05201398
-1	-1	0.003005177
-1	-1	0.0027862778
-1	-1	0.0033975053
1	1	0.851832
-1	-1	0.015008374
1	1	0.9555553
-1	-1	0.0037868172
1	1	0.9898573
-1	-1	0.0027199865
-1	-1	0.0033121926
-1	-1	0.0028625191
-1	-1	0.014625604
-1	-1	0.002696162
1	1	0.99512285
1	1	0.99682367
1	1	0.9901164
-1	-1	0.0024579908
-1	-1	0.0023132127
-1	-1	0.002675725
1	1	0.9092109
-1	-1	0.001957735
1	1	0.99899024
1	1	0.9987226
-1	-1	0.0022555208
-1	-1	0.0040190755
-1	1	0.7366615
-1	-1	0.00784618
1	1	0.92705077
1	1	0.99871135
1	1	0.9787619
-1	-1	0.0029490285
-1	-1	0.0030425931
1	1	0.9972778
-1	1	0.7076301
-1	1	0.8341326
1	1	0.9633955
1	1	0.9967558
1	1	0.6891765
1	1	0.9920477
-1	-1	0.046991676
1	1	0.9982187
1	1	0.999111
1	1	0.88839656
1	1	0.8582237
1	1	0.7326324
-1	-1	0.0033746008
-1	-1	0.0025064277
-1	-1	0.004256907
1	1	0.9847595
1	1	0.986761
-1	-1	0.0071679656
1	1	0.99553764
1	1	0.9959286
-1	-1	0.0019889486
1	1	0.83205676
1	1	0.9955367
-1	-1	0.010320863
-1	-1	0.0048410106
-1	-1	0.014988057
-1	-1	0.14886637
-1	-1	0.001615382
1	1	0.94504684
-1	-1	0.05397677
1	1	0.9886496
1	1	0.9921989
1	1	0.9559034
-1	-1	0.0018477803
1	1	0.9963678
1	1	0.9811555
1	1	0.93996525
1	1	0.9971807
1	1	0.9988894
-1	-1	0.0045025414
-1	-1	0.053824965
-1	-1	0.22880407
1	1	0.987496
-1	-1	0.004168678
-1	-1	0.011791076
1	1	0.99236757
1	1	0.9962334
1	1	0.9952662
-1	-1	0.04042753
1	1	0.9045304
1	1	0.9962753
-1	-1	0.0035292106
1	1	0.99019706
1	-1	0.16273257
-1	-1	0.04161405
1	1	0.9989642
-1	-1	0.018709004
1	1	0.993447
-1	-1	0.0022482313
-1	-1	0.03959856
1	1	0.99843794
-1	-1	0.23695509
-1	-1	0.004159964
1	1	0.9930118
1	1	0.984767
1	1	0.98224396
-1	1	0.55392
-1	-1	0.0019306468
-1	-1	0.14057808
1	1	0.998909
1	1	0.95852894
-1	1	0.95132166
-1	-1	0.11703959
-1	-1	0.0030510258
-1	-1	0.003267892
-1	-1	0.0021544304
1	1	0.9940799
1	1	0.9266573
1	1	0.9946785
1	1	0.97991323
-1	-1	0.0023516887
1	1	0.9756585
1	1	0.9908242
-1	1	0.5969929
1	1	0.9947048
1	1	0.9964772
1	1	0.987615
1	1	0.9959929
1	1	0.9970763
-1	-1	0.0030231432
1	1	0.8096992
1	1	0.9790622
-1	-1	0.0026697526
-1	-1	0.006330808
-1	1	0.7847932
1	1	0.99008733
1	1	0.73109424
-1	-1	0.0042692693
1	1	0.86845803
1	1	0.943572
-1	-1	0.0027626662
-1	-1	0.07258482
-1	-1	0.00675071
-1	-1	0.0022188039
-1	-1	0.0031138435
1	1	0.9961815
1	1	0.97922933
1	1	0.9927538
1	1	0.99616677
-1	-1	0.03656614
1	1	0.9954814
1	1	0.999041
-1	-1	0.12849182
-1	-1	0.0025897496
-1	-1	0.0032755143
1	1	0.99857235
1	1	0.9933955
1	1	0.9963904
-1	1	0.59515333
-1	-1	0.08505648
1	1	0.9976507
-1	-1	0.0047229845
1	1	0.9980274
-1	-1	0.0027872927
1	1	0.77127117
-1	-1	0.03380602
1	1	0.93866587
1	1	0.9788119
1	1	0.88746005
-1	-1	0.28394884
-1	-1	0.004913582
-1	-1	0.0030036487
1	1	0.99910754
1	1	0.97226983
-1	-1	0.0035444496
-1	-1	0.013952752
1	1	0.9904095
-1	-1	0.16199134
1	1	0.5398564
-1	-1	0.0027469872
-1	-1	0.059810754
-1	-1	0.0035379264
1	1	0.97411627
-1	-1	0.0025210262
-1	-1	0.002566382
1	1	0.99024206
1	1	0.99755305
1	1	0.90530705
1	1	0.9989318
-1	-1	0.0034998164
-1	-1	0.19156528
-1	-1	0.24061666
1	1	0.99185187
1	1	0.994399
-1	-1	0.102891654
-1	-1	0.004798748
1	1	0.99448377
1	1	0.99584323
1	1	0.9924913
1	1	0.98865825
-1	-1	0.0043332092
-1	-1	0.08272746
1	1	0.99827313
1	1	0.98239833
1	1	0.5800678
1	-1	0.4238904
-1	-1	0.005055969
1	1	0.97986734
1	1	0.99473095
1	1	0.96244895
1	1	0.99803704
1	1	0.998939
-1	-1	0.0018047156
1	1	0.92879426
-1	-1	0.04901625
1	1	0.9993856
1	1	0.99661094
1	1	0.9165896
-1	-1	0.0025909126
-1	-1	0.016743574
-1	-1	0.0030167229
-1	-1	0.0038152009
1	1	0.93292063
-1	-1	0.0027521518
1	1	0.9965718
1	1	0.9929
1	1	0.9980045
1	1	0.9539349
-1	-1	0.08403891
-1	-1	0.002112794
1	1	0.9979845
-1	-1	0.002546052
1	1	0.9954514
-1	-1	0.002835045
1	1	0.95556086
1	1	0.99627656
-1	-1	0.002467328
1	1	0.9980268
-1	-1	0.0031687447
-1	-1	0.003569315
1	-1	0.4348849
1	1	0.9964934
-1	-1	0.002747587
-1	-1	0.0025916323
-1	-1	0.06823323
-1	-1	0.110238075
1	1	0.95270485
1	1	0.9859341
-1	-1	0.0016586208
-1	-1	0.3251645
1	1	0.98666674
1	1	0.99600005
1	1	0.9979557
-1	-1	0.122492634
-1	-1	0.0029401444
1	1	0.9989103
-1	-1	0.0023666823
-1	-1	0.022160709
1	1	0.94116104
-1	-1	0.030201262
-1	-1	0.0036068335
-1	-1	0.0021890898
-1	-1	0.30516598
1	1	0.9989427
-1	-1	0.0022309846
1	1	0.6530352
-1	-1	0.0036938288
-1	-1	0.0034786072
1	1	0.8958488
1	1	0.81442386
1	1	0.998968
-1	-1	0.0037960005
1	1	0.98517936
-1	-1	0.0032981776
1	1	0.9962063
1	1	0.9938782
1	1	0.98745257
-1	-1	0.18685922
1	1	0.9969021
-1	-1	0.0028730347
-1	-1	0.13792227
1	1	0.99894553
1	1	0.9392325
-1	-1	0.010801225
-1	-1	0.004174673
1	-1	0.043584947
-1	-1	0.020064691
-1	-1	0.0027914708
1	1	0.9778717
-1	-1	0.0033620384
1	1	0.6041831
-1	-1	0.24262556
-1	-1	0.29355153
1	1	0.99439985
-1	-1	0.0042395955
1	1	0.9851614
-1	-1	0.004878535
1	1	0.9976903
1	1	0.9982868
-1	-1	0.0061089303
1	1	0.9496641
-1	-1	0.003582295
1	1	0.98997784
1	1	0.9923504
-1	-1	0.041761562
1	1	0.9996289
1	1	0.99236065
1	1	0.99922204
1	1	0.50300443
-1	-1	0.007748062
-1	1	0.75926554
1	1	0.9494881
1	1	0.95257753
1	1	0.99629277
1	1	0.98209065
-1	-1	0.0032307168
1	1	0.98448664
1	1	0.98673683
1	1	0.99545467
1	1	0.9608527
1	1	0.9949719
-1	-1	0.002691032
-1	-1	0.0034312387
-1	-1	0.0013059066
-1	1	0.9174118
1	1	0.92888
-1	-1	0.3224669
1	1	0.9804771
1	1	0.997474
1	1	0.9973909
-1	-1	0.47172275
1	1	0.9854676
1	1	0.9987826
1	1	0.8841333
1	1	0.68168175
1	1	0.9958741
1	1	0.9981299
-1	-1	0.24259785
1	1	0.9990447
1	1	0.97184664
-1	-1	0.023876647
-1	-1	0.004401087
-1	-1	0.0032452245
-1	-1	0.33940628
1	1	0.99840873
-1	-1	0.0037855401
-1	-1	0.005066823
1	1	0.98891336
1	1	0.9478306
-1	-1	0.0029202043
-1	1	0.5212147
-1	-1	0.013622316
-1	-1	0.0018079755
1	1	0.9950642
-1	-1	0.010585101
-1	-1	0.21367843
1	1	0.99616313
1	1	0.9990982
-1	-1	0.002747188
1	1	0.98986024
-1	-1	0.002908095
-1	-1	0.14058715
1	-1	0.10285485
-1	1	0.812216
-1	-1	0.49138296
-1	-1	0.01934496
1	1	0.97078943
-1	-1	0.016979046
1	1	0.9975635
1	1	0.8838484
1	1	0.9953816
-1	-1	0.0021564858
1	1	0.9303116
-1	-1	0.0034575493
-1	-1	0.008498914
-1	1	0.5567925
1	1	0.99202853
1	1	0.93439555
1	1	0.94284785
-1	-1	0.032761507
-1	-1	0.0025363404
-1	-1	0.0037730734
-1	-1	0.002075651
-1	-1	0.121205784
1	1	0.9822097
1	1	0.59846985
-1	-1	0.0032677427
1	1	0.99608177
1	1	0.99769515
-1	-1	0.0028256366
1	1	0.9553654
-1	-1	0.0028583654
-1	-1	0.04843798
1	1	0.99456936
-1	-1	0.09715487
-1	-1	0.0018818455
1	1	0.9477969
1	1	0.9952512
1	1	0.9982948
1	1	0.98943347
1	-1	0.34791434
-1	-1	0.0027183185
1	1	0.9974446
1	1	0.91186005
1	1	0.97682595
1	1	0.99061745
1	1	0.98585945
-1	-1	0.35780302
-1	-1	0.08620906
-1	-1	0.003780411
1	1	0.9780629
-1	-1	0.004194396
1	1	0.9246812
-1	-1	0.0020741757
-1	-1	0.0021992247
1	1	0.98961174
-1	-1	0.016573349
-1	-1	0.003764838
1	1	0.93905306
1	1	0.9536263
-1	-1	0.0025850392
-1	-1	0.0031130179
-1	-1	0.0044943416
1	1	0.84472495
-1	-1	0.0052747047
1	1	0.75401247
1	1	0.9980629
-1	-1	0.0015968775
1	1	0.99683917
1	1	0.992694
1	1	0.99593425
-1	-1	0.002955783
-1	-1	0.013978963
1	1	0.9904999
1	1	0.99661344
-1	-1	0.0018283364
1	1	0.98609215
1	1	0.9986265
1	1	0.99463814
1	1	0.99593073
-1	-1	0.0032899494
1	1	0.9655596
1	1	0.99025774
1	1	0.9705696
1	1	0.95474386
1	1	0.9954319
-1	-1	0.010631686
-1	-1	0.0032356738
-1	-1	0.004715819
1	1	0.9989188
-1	-1	0.0038118204
1	1	0.72100186
-1	-1	0.0018013692
1	1	0.98853695
-1	-1	0.0027442686
1	1	0.99404293
1	1	0.9875135
1	1	0.9948894
-1	-1	0.002294615
1	1	0.926366
1	1	0.9979557
1	1	0.9970759
-1	-1	0.0027043393
1	1	0.57499164
1	1	0.9907883
-1	-1	0.11397019
1	1	0.99852186
-1	-1	0.0029770443
-1	-1	0.013832717
-1	-1	0.0041244775
1	1	0.9968196
-1	-1	0.0026945856
1	1	0.9982079
1	1	0.98193884
-1	-1	0.0034290662
-1	-1	0.0125466455
1	1	0.9934963
-1	-1	0.002498743
-1	-1	0.19877575
1	1	0.99886096
-1	-1	0.013002788
1	1	0.960568
1	1	0.9929646
-1	-1	0.22207092
-1	-1	0.002255041
-1	-1	0.0030225108
-1	-1	0.036077533
1	1	0.6713386
-1	-1	0.005157665
1	1	0.99353445
1	1	0.9842014
1	1	0.7498692
1	1	0.997619
-1	-1	0.22335157
1	1	0.9594608
-1	-1	0.0031288275
1	1	0.9940587
1	1	0.9884843
1	1	0.9934273
1	1	0.9942009
1	1	0.9907251
1	1	0.99841523
-1	-1	0.002168898
-1	-1	0.0023673703
1	1	0.92800313
-1	-1	0.017653475
1	1	0.99490994
1	1	0.99932563
-1	-1	0.09698723
1	1	0.96214515
1	1	0.99656504
1	1	0.99772435
-1	1	0.8813667
-1	-1	0.09549751
1	1	0.99858654
1	1	0.98153746
-1	-1	0.0024919915
-1	-1	0.0025089206
-1	-1	0.0041804886
1	1	0.9860903
1	1	0.9967968
-1	-1	0.0646213
1	1	0.719249
-1	1	0.579098
-1	-1	0.0021838157
-1	-1	0.0028370798
-1	-1	0.051161014
1	1	0.99791485
1	1	0.9966029
1	1	0.99876094
1	1	0.98314536
1	1	0.9979146
-1	-1	0.006939864
1	1	0.9678274
1	1	0.965357
1	1	0.99147743
1	1	0.9597381
-1	-1	0.062500946
1	1	0.9062073
-1	-1	0.17952558
-1	-1	0.09792917
1	1	0.99877876
-1	-1	0.0019662385
1	1	0.9927176
-1	-1	0.0020957345
1	1	0.9902776
1	1	0.99920243
-1	-1	0.0028406298
-1	1	0.681684
1	-1	0.26315123
1	1	0.997888
-1	-1	0.002186735
-1	1	0.75082684
1	1	0.98159766
1	1	0.9909264
1	1	0.98590046
1	-1	0.0299236
1	1	0.99691355
-1	-1	0.015919711
1	1	0.8503894
1	1	0.9858065
-1	-1	0.17370737
1	1	0.9938736
1	1	0.9980951
1	1	0.9949065
-1	-1	0.0210016
1	1	0.99140036
-1	-1	0.1953209
1	1	0.9905556
1	1	0.9922725
-1	-1	0.0037316051
1	1	0.9980236
1	1	0.99625945
-1	-1	0.0021084114
-1	-1	0.20564911
1	1	0.7580594
1	1	0.9363372
1	1	0.99427915
-1	-1	0.0018743005
-1	-1	0.07292225
-1	-1	0.043012258
1	1	0.9953518
-1	-1	0.3987445
1	1	0.6622663
-1	-1	0.025398737
1	1	0.7248575
1	1	0.79385865
1	1	0.9890188
-1	-1	0.007145728
1	1	0.9905323
-1	-1	0.0037786628
1	-1	0.39332682
-1	-1	0.0022008931
1	1	0.9949635
1	1	0.98609364
-1	-1	0.001996648
-1	1	0.9112441
-1	-1	0.002483204
-1	-1	0.0030960345
-1	-1	0.34967828
1	1	0.91817856
1	1	0.96891093
-1	-1	0.002739218
1	1	0.9914717
1	-1	0.49950853
-1	-1	0.35735095
-1	-1	0.20846064
-1	-1	0.3789722
1	1	0.9628537
1	1	0.996597
1	1	0.9991371
-1	-1	0.0036804967
1	1	0.9903363
1	1	0.9995036
-1	-1	0.0032742568
-1	-1	0.035160154
-1	-1	0.029669931
-1	-1	0.0028429625
1	1	0.59081095
1	1	0.92888
-1	-1	0.0035269677
1	1	0.991622
-1	1	0.73527646
-1	-1	0.0020358756
1	1	0.9981919
1	1	0.8270164
1	1	0.99551094
1	1	0.8889167
-1	-1	0.03825759
-1	-1	0.0021793803
-1	-1	0.25547615
1	1	0.9722207
1	1	0.9982644
1	1	0.98913795
-1	1	0.68534946
1	1	0.9854214
-1	-1	0.0017842606
1	1	0.9982948
-1	-1	0.013863165
-1	-1	0.003810104
1	1	0.9986356
1	1	0.8050016
1	1	0.9905855
-1	-1	0.0036980566
1	1	0.95733315
-1	-1	0.0028268783
1	1	0.6382538
-1	-1	0.062004376
1	1	0.98233736
-1	-1	0.0028991066
